"Standardized_names","provinces","n.provinces","population.total","area.total","density"
"Acianthera teres","TW",1,2339,3.6,649.7222222222222
"Acianthera verecunda","TW",1,2339,3.6,649.7222222222222
"Acianthus exsertus","TW",1,2339,3.6,649.7222222222222
"Acineta antioquiae","BJ",1,2106.5,1.7,1239.1176470588236
"Acineta chrysantha","BJ",1,2106.5,1.7,1239.1176470588236
"Acineta superba","BJ, TW",2,4445.5,5.3,838.7735849056604
"Acinodendron coronatum","YN",1,4671,39,119.76923076923077
"Acinodendron latifolium","YN",1,4671,39,119.76923076923077
"Acinodendron plumeriferum","YN",1,4671,39,119.76923076923077
"Acis autumnalis","TW",1,2339,3.6,649.7222222222222
"Acmella grandiflora var. brachyglossa","GX",1,4837,24,201.54166666666666
